GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
customerChallenge,com.zup.model,CustomPage,8,58,0,0,4,11,2,3,2,3
customerChallenge,com.zup.model,City,0,23,0,0,0,11,0,6,0,6
customerChallenge,com.zup.model,Customer,0,33,0,0,0,14,0,8,0,8
customerChallenge,com.zup.service,CityServiceBean,0,73,0,4,0,19,0,9,0,7
customerChallenge,com.zup.service,CustomerServiceBean,0,101,1,11,0,25,1,12,0,7
customerChallenge,com.zup.controller,ControllerExceptionHandler,3,3,0,0,1,1,1,1,1,1
customerChallenge,com.zup.controller,CityController,0,49,0,0,0,11,0,7,0,7
customerChallenge,com.zup.controller,CustomerController,0,49,0,0,0,11,0,7,0,7
customerChallenge,com.zup.adapter,SimpleCORSFilter,2,31,0,0,2,9,2,2,2,2
customerChallenge,com.zup,App,5,3,0,0,2,1,1,1,1,1
